"","fips","2010","2014","2016","2018","2020"
"1","01001",0.7262,0.433,0.32,0.3792,0.7922
"2","01003",0.4678,0.2372,0.1493,0.1391,0.1738
"3","01005",0.9443,0.8937,0.9296,0.9468,0.9656
"4","01007",0.7612,0.5804,0.3266,0.1706,0.9637
"5","01009",0.2867,0.3903,0.4018,0.2961,0.6108
"6","01011",0.9888,0.9659,0.9854,0.9955,0.9949
"7","01013",0.9306,0.9478,0.9147,0.8185,0.7922
"8","01015",0.7886,0.688,0.7711,0.8077,0.6862
"9","01017",0.9,0.9144,0.7138,0.7316,0.6728
"10","01019",0.3653,0.5527,0.4215,0.0665,0.1324
"11","01021",0.6394,0.6364,0.5505,0.7994,0.641
"12","01023",0.6823,0.7262,0.5301,0.5938,0.8415
"13","01025",0.8803,0.8513,0.3808,0.4518,0.8479
"14","01027",0.6374,0.8481,0.9156,0.7316,0.9147
"15","01029",0.3847,0.2741,0.0977,0.1251,0.155
"16","01031",0.6578,0.8118,0.7845,0.7316,0.8978
"17","01033",0.6066,0.5412,0.5244,0.5053,0.591
"18","01035",0.9201,0.6772,0.7453,0.8462,0.7015
"19","01037",0.6925,0.312,0.0449,0.0853,0.1423
"20","01039",0.632,0.6606,0.4629,0.6399,0.6537
"21","01041",0.7574,0.8669,0.7265,0.6234,0.6537
"22","01043",0.3653,0.362,0.2744,0.2537,0.5124
"23","01045",0.8169,0.6574,0.5677,0.5053,0.8211
"24","01047",0.9875,0.9876,0.9771,0.9647,0.9392
"25","01049",0.5496,0.3002,0.5845,0.6972,0.5124
"26","01051",0.7173,0.6982,0.652,0.6702,0.6257
"27","01053",0.8933,0.9554,0.6609,0.5597,0.7813
"28","01055",0.6979,0.6507,0.6323,0.6234,0.7922
"29","01057",0.5591,0.7182,0.4206,0.3435,0.3905
"30","01059",0.6301,0.8602,0.7861,0.5938,0.7161
"31","01061",0.6565,0.7587,0.7386,0.6972,0.4316
"32","01063",0.9764,0.8873,0.9312,0.7679,0.325
"33","01065",0.9532,0.9653,0.7975,0.83,0.5344
"34","01067",0.6804,0.377,0.3047,0.3123,0.325
"35","01069",0.8599,0.8596,0.8491,0.8077,0.8211
"36","01071",0.415,0.4069,0.3292,0.3613,0.4714
"37","01073",0.8612,0.8131,0.8389,0.8077,0.8415
"38","01075",0.4503,0.7886,0.5444,0.1102,0.4516
"39","01077",0.4605,0.4629,0.4101,0.3961,0.4914
"40","01079",0.5881,0.5097,0.3999,0.3435,0.2651
"41","01081",0.6168,0.5075,0.6982,0.7771,0.6537
"42","01083",0.478,0.4394,0.4059,0.3961,0.5124
"43","01085",0.9774,0.9647,0.9691,0.979,0.9962
"44","01087",0.9761,0.964,0.9137,0.8185,0.8765
"45","01089",0.6117,0.5202,0.497,0.49,0.7813
"46","01091",0.9261,0.8838,0.8867,0.2961,0.754
"47","01093",0.5509,0.3521,0.5263,0.4518,0.325
"48","01095",0.6728,0.7373,0.7437,0.6702,0.754
"49","01097",0.9182,0.8676,0.8548,0.8462,0.832
"50","01099",0.9067,0.7154,0.4973,0.5412,0.754
"51","01101",0.9544,0.9656,0.9618,0.9478,0.9583
"52","01103",0.6699,0.71,0.7326,0.653,0.5535
"53","01105",0.9847,0.9895,0.9223,0.8918,0.7015
"54","01107",0.8952,0.922,0.6221,0.49,0.8542
"55","01109",0.8106,0.8577,0.8112,0.7198,0.767
"56","01111",0.7565,0.7001,0.6195,0.5053,0.6108
"57","01113",0.9627,0.958,0.9093,0.8918,0.9539
"58","01115",0.4213,0.425,0.2334,0.3247,0.366
"59","01117",0.1909,0.2381,0.1761,0.1706,0.3049
"60","01119",0.9691,0.8924,0.7899,0.6702,0.8978
"61","01121",0.8898,0.9048,0.8424,0.8077,0.8676
"62","01123",0.85,0.7695,0.8427,0.7679,0.9239
"63","01125",0.7189,0.7077,0.7794,0.8383,0.8826
"64","01127",0.6301,0.7039,0.6294,0.3792,0.5124
"65","01129",0.6728,0.1172,0.5715,0.3961,0.5344
"66","01131",0.9891,0.6867,0.425,0.3435,0.9344
"67","01133",0.4092,0.3368,0.3588,0.3435,0.6862
"68","02013",0.9519,0.9739,0.9557,0.9694,0.7813
"69","02016",0.7514,0.7096,0.6606,0.7771,0.325
"70","02020",0.7476,0.8265,0.7771,0.7316,0.5535
"71","02050",0.9885,0.9889,0.9895,0.9904,0.888
"72","02060",0.4493,0.9083,0.8303,0.7198,0.0659
"73","02068",0.027,0.0048,0.0115,0.0134,0.0321
"74","02070",0.9805,0.9093,0.9841,0.994,0.9882
"75","02090",0.4732,0.5349,0.4944,0.6399,0.6108
"76","02100",0.2008,0.3747,0.0105,0.0478,0.0255
"77","02105",0.2867,0.1331,0.4559,0.433,0.0395
"78","02110",0.6394,0.7338,0.5552,0.1391,0.3905
"79","02122",0.3739,0.4846,0.5622,0.4518,0.4134
"80","02130",0.7294,0.4741,0.6727,0.7679,0.641
"81","02150",0.7746,0.9621,0.9261,0.9405,0.5535
"82","02164",0.971,0.9924,0.9955,0.9819,0.8765
"83","02170",0.5582,0.6011,0.4855,0.49,0.5535
"84","02180",0.9945,0.9987,0.9987,0.9975,0.9325
"85","02185",0.9942,0.9975,0.9882,0.9876,0.9771
"86","02188",0.9977,0.9952,0.9971,0.9981,0.9656
"87","02195",0.5381,0.2133,0.6514,0.5597,0.1738
"88","02198",0.873,0.8723,0.8625,0.7198,0.5124
"89","02220",0.6661,0.5657,0.6332,0.6972,0.2285
"90","02230",0.0442,0.4129,0.0331,0.2961,0.3485
"91","02240",0.3373,0.2827,0.589,0.1573,0.3049
"92","02261",0.4131,0.8532,0.4492,0.1573,NA
"93","02270",0.9987,0.999,NA,NA,NA
"94","02275",0.4328,0.3677,0.9032,0.4518,0.2285
"95","02282",0.907,0.972,0.9755,0.8752,0.0395
"96","02290",0.9802,0.9698,0.9723,0.9819,0.8826
"97","04001",0.9824,0.9131,0.9166,0.8548,0.8943
"98","04003",0.6059,0.6409,0.6189,0.5597,0.641
"99","04005",0.8071,0.8115,0.6616,0.3792,0.4914
"100","04007",0.5623,0.2808,0.4779,0.4712,0.1871
"101","04009",0.922,0.8644,0.7701,0.8383,0.7393
"102","04011",0.845,0.8746,0.8364,0.8548,0.832
"103","04012",0.2768,0.1184,0.1238,0.3123,0.6862
"104","04013",0.7676,0.787,0.7564,0.7198,0.6728
"105","04015",0.4907,0.2913,0.391,0.4126,0.3905
"106","04017",0.9452,0.9023,0.9029,0.83,0.8479
"107","04019",0.7081,0.6383,0.68,0.6972,0.6537
"108","04021",0.7778,0.73,0.6113,0.5234,0.4516
"109","04023",0.9229,0.9252,0.9363,0.9468,0.7276
"110","04025",0.2224,0.1509,0.1203,0.1102,0.0716
"111","04027",0.866,0.8921,0.7841,0.8077,0.8631
"112","05001",0.829,0.347,0.8077,0.8462,0.802
"113","05003",0.7982,0.8067,0.3814,0.5234,0.2826
"114","05005",0.1674,0.2958,0.1172,0.1102,0.1235
"115","05007",0.5054,0.3779,0.4467,0.433,0.6728
"116","05009",0.3924,0.489,0.4425,0.4126,0.113
"117","05011",0.6998,0.8083,0.8883,0.8383,0.7161
"118","05013",0.5381,0.588,0.6823,0.3435,0.4134
"119","05015",0.3669,0.2385,0.213,0.0735,0.0547
"120","05017",0.9408,0.9567,0.9344,0.9663,0.8943
"121","05019",0.6215,0.794,0.8411,0.8383,0.832
"122","05021",0.4621,0.8153,0.8666,0.9137,0.832
"123","05023",0.1954,0.2996,0.3321,0.2665,0.325
"124","05025",0.6524,0.5985,0.7323,0.7198,0.6257
"125","05027",0.8682,0.9013,0.8965,0.8383,0.7393
"126","05029",0.5849,0.8688,0.8233,0.6065,0.7922
"127","05031",0.8049,0.9207,0.944,0.9497,0.9239
"128","05033",0.7017,0.7666,0.6071,0.6065,0.6257
"129","05035",0.9866,0.9946,0.9898,0.9777,0.9758
"130","05037",0.7921,0.7552,0.6574,0.8462,0.9809
"131","05039",0.815,0.199,0.4489,0.7905,0.366
"132","05041",0.9611,0.8679,0.8962,0.8682,0.9344
"133","05043",0.8411,0.6886,0.5358,0.5412,0.325
"134","05045",0.6117,0.6829,0.4957,0.4126,0.5344
"135","05047",0.4863,0.4209,0.1563,0.1022,0.2476
"136","05049",0.2558,0.1458,0.2194,0.2216,0.3905
"137","05051",0.5661,0.6326,0.6749,0.7469,0.6728
"138","05053",0.4761,0.3266,0.2741,0.5234,0.2651
"139","05055",0.7068,0.5396,0.3731,0.6832,0.802
"140","05057",0.9169,0.9217,0.9462,0.9634,0.9036
"141","05059",0.6244,0.6934,0.6164,0.5938,0.5535
"142","05061",0.8313,0.9589,0.9707,0.9172,0.986
"143","05063",0.5458,0.6991,0.6769,0.7316,0.4516
"144","05065",0.1279,0.0847,0.0366,0.028,0.0487
"145","05067",0.7549,0.6848,0.674,0.5412,0.8415
"146","05069",0.9665,0.9405,0.9109,0.8682,0.9539
"147","05071",0.6374,0.4795,0.2041,0.6234,0.6257
"148","05073",0.845,0.5126,0.7972,0.653,0.6728
"149","05075",0.4401,0.206,0.3496,0.3961,0.5124
"150","05077",0.9694,0.8217,0.6886,0.653,0.888
"151","05079",0.8682,0.9831,0.8542,0.4126,0.0716
"152","05081",0.7628,0.7418,0.6718,0.5234,0.3049
"153","05083",0.6298,0.7081,0.6641,0.83,0.5124
"154","05085",0.7441,0.7351,0.7479,0.7679,0.8542
"155","05087",0.2966,0.2292,0.1509,0.1812,0.325
"156","05089",0.1333,0.1137,0.1649,0.1391,0.1423
"157","05091",0.9061,0.8491,0.8816,0.9405,0.9822
"158","05093",0.97,0.9564,0.9615,0.9777,0.9698
"159","05095",0.8539,0.667,0.8042,0.9319,0.832
"160","05097",0.1394,0.0949,0.0213,0.1022,0.1738
"161","05099",0.8605,0.3279,0.0516,0.9172,0.832
"162","05101",0.0907,0.0516,0.0392,0.0398,0.325
"163","05103",0.8908,0.844,0.8758,0.8975,0.9147
"164","05105",0.4964,0.0675,0.0866,0.1812,0.1423
"165","05107",0.9901,0.9936,0.9863,0.9803,0.9901
"166","05109",0.4029,0.8411,0.4712,0.5597,0.1324
"167","05111",0.852,0.7794,0.873,0.9172,0.7922
"168","05113",0.2966,0.7224,0.4963,0.5053,0.5344
"169","05115",0.6082,0.4893,0.5158,0.7198,0.802
"170","05117",0.526,0.5056,0.6953,0.3613,0.6257
"171","05119",0.8682,0.8052,0.8239,0.9019,0.9147
"172","05121",0.4621,0.5696,0.8026,0.8752,0.802
"173","05123",0.9821,0.9494,0.7921,0.9277,0.9895
"174","05125",0.5143,0.5387,0.4145,0.6065,0.6728
"175","05127",0.5544,0.6387,0.7367,0.2537,0.5726
"176","05129",0.0887,0.0245,0.0175,0.0544,0.1324
"177","05131",0.7708,0.751,0.6759,0.7679,0.7393
"178","05133",0.7998,0.7205,0.646,0.4126,0.4714
"179","05135",0.3096,0.2143,0.2983,0.5234,0.5535
"180","05137",0.1187,0.0392,0.0952,0.1391,0.7161
"181","05139",0.8561,0.865,0.8676,0.83,0.9036
"182","05141",0.1992,0.6262,0.2939,0.433,0.2826
"183","05143",0.5786,0.7071,0.4814,0.653,0.6728
"184","05145",0.5248,0.5536,0.7007,0.6065,0.8479
"185","05147",0.7982,0.8809,0.8835,0.7316,0.8943
"186","05149",0.7418,0.6339,0.7663,0.8628,0.4914
"187","06001",0.5639,0.4897,0.4066,0.3123,0.3905
"188","06003",0.4108,0.4935,0.0478,0.0665,0.0255
"189","06005",0.1699,0.2009,0.2986,0.1487,0.1015
"190","06007",0.5938,0.5613,0.4078,0.4518,0.3905
"191","06009",0.1861,0.0691,0.1827,0.2305,0.2285
"192","06011",0.7208,0.8994,0.9249,0.9548,0.8479
"193","06013",0.5824,0.454,0.4648,0.49,0.5344
"194","06015",0.829,0.8863,0.843,0.6065,0.6257
"195","06017",0.2383,0.1429,0.1996,0.1251,0.113
"196","06019",0.9462,0.9803,0.9822,0.9736,0.8978
"197","06021",0.7476,0.7899,0.7625,0.6702,0.7015
"198","06023",0.6629,0.738,0.7096,0.6972,0.6257
"199","06025",0.9684,0.9605,0.9424,0.9277,0.9239
"200","06027",0.4653,0.589,0.6689,0.2305,0.1235
"201","06029",0.9471,0.9717,0.9669,0.9554,0.8826
"202","06031",0.9548,0.9723,0.9844,0.979,0.9106
"203","06033",0.6699,0.829,0.8704,0.6832,0.4316
"204","06035",0.6616,0.4807,0.432,0.3123,0.5344
"205","06037",0.815,0.7991,0.7447,0.6972,0.6108
"206","06039",0.8787,0.9109,0.9214,0.8809,0.6728
"207","06041",0.1584,0.2432,0.1621,0.1936,0.325
"208","06043",0.1133,0.121,0.2547,0.1162,0.888
"209","06045",0.6928,0.6517,0.6396,0.7198,0.7813
"210","06047",0.9503,0.9729,0.9834,0.9752,0.9284
"211","06049",0.5095,0.0933,0.2251,0.1337,0.3905
"212","06051",0.0922,0.2993,0.0637,0.1022,0.077
"213","06053",0.7867,0.8701,0.8574,0.7994,0.4914
"214","06055",0.4092,0.4088,0.3091,0.2961,0.3049
"215","06057",0.2412,0.0914,0.1344,0.1812,0.1871
"216","06059",0.4328,0.4301,0.3801,0.3613,0.3905
"217","06061",0.2711,0.3152,0.2681,0.1936,0.2651
"218","06063",0.211,0.2197,0.1245,0.1251,0.1423
"219","06065",0.8227,0.7978,0.7679,0.6972,0.591
"220","06067",0.8415,0.8599,0.8332,0.7905,0.767
"221","06069",0.8141,0.822,0.8727,0.8628,0.591
"222","06071",0.9328,0.9347,0.9382,0.9268,0.8631
"223","06073",0.5687,0.5148,0.5298,0.5234,0.4914
"224","06075",0.0346,0.0334,0.0267,0.0328,0.077
"225","06077",0.9172,0.9421,0.9233,0.9019,0.802
"226","06079",0.2243,0.2337,0.2031,0.2385,0.155
"227","06081",0.2383,0.1538,0.1697,0.1391,0.1871
"228","06083",0.4815,0.6246,0.6055,0.6065,0.4714
"229","06085",0.322,0.2521,0.2436,0.1936,0.2285
"230","06087",0.3924,0.4282,0.3155,0.3123,0.325
"231","06089",0.6823,0.5855,0.4702,0.5775,0.5535
"232","06091",0.1206,0.0242,0.0032,0.0665,0.6862
"233","06093",0.5054,0.4833,0.411,0.3613,0.1871
"234","06095",0.8338,0.859,0.8577,0.7905,0.7161
"235","06097",0.4621,0.4444,0.4311,0.3435,0.366
"236","06099",0.8854,0.9121,0.922,0.8975,0.802
"237","06101",0.7937,0.6944,0.8644,0.8752,0.8211
"238","06103",0.7893,0.6679,0.8138,0.8077,0.6257
"239","06105",0.3621,0.3477,0.7042,0.6702,0.8978
"240","06107",0.9624,0.9764,0.9758,0.9694,0.9195
"241","06109",0.2867,0.233,0.1732,0.1022,0.2002
"242","06111",0.5795,0.5521,0.5237,0.4126,0.3485
"243","06113",0.5054,0.432,0.4505,0.4126,0.5124
"244","06115",0.8981,0.9175,0.9198,0.9096,0.754
"245","08014",0.41754,0.45772,0.40648,0.36542,0.44856
"246","08003",0.7826,0.6332,0.6084,0.2069,0.5535
"247","08005",0.6524,0.7186,0.6832,0.5938,0.6108
"248","08007",0.2259,0.3658,0.0981,0.0242,0.0118
"249","08009",0.0843,0.0758,0.0961,0.2069,0.2826
"250","08011",0.7768,0.4559,0.2977,0.7771,0.641
"251","08015",0.0814,0.5314,0.2423,0.1936,0.8211
"252","08017",0.049,0.0681,0.07,0.0665,0.0255
"253","08019",0.0394,0.0194,0.0363,0.2069,0.3049
"254","08021",0.5591,0.5638,0.2143,0.5234,0.3485
"255","08023",0.6037,0.2929,0.1656,0.433,0.9195
"256","08025",0.6288,0.8812,0.9688,0.6399,0.8211
"257","08027",0.0203,0.0121,0.0137,0.0175,0.0089
"258","08029",0.1731,0.1697,0.0968,0.0735,0.2002
"259","08031",0.4013,0.4635,0.4725,0.3613,0.4714
"260","08033",0.1133,0.085,0.5833,0.3613,0.0716
"261","08035",0.1604,0.3155,0.2337,0.2216,0.325
"262","08037",0.1502,0.2999,0.2295,0.1391,0.325
"263","08039",0.0483,0.0487,0.0255,0.0328,0.0487
"264","08041",0.632,0.6597,0.6272,0.6234,0.6108
"265","08043",0.3695,0.2923,0.4031,0.3435,0.2826
"266","08045",0.4678,0.5167,0.412,0.3247,0.4714
"267","08047",0.0471,0.0589,0.0029,0.0064,0.0547
"268","08049",0.0712,0.1407,0.2286,0.1102,0.0455
"269","08051",0.0744,0.4148,0.4756,0.4126,0.1015
"270","08053",0.0372,0.0013,0.014,0.0194,0.9637
"271","08055",0.2768,0.1092,0.2063,0.2305,0.2826
"272","08057",0.0334,0.0981,0.0035,0.0102,0.0118
"273","08061",0.0563,0.7918,0.7619,0.653,0.113
"274","08063",0.3058,0.7673,0.4935,0.7316,0.366
"275","08065",0.5458,0.6539,0.2709,0.3613,0.2651
"276","08067",0.2119,0.2843,0.228,0.0777,0.2476
"277","08069",0.1817,0.2897,0.2652,0.1936,0.2116
"278","08071",0.5856,0.4868,0.2245,0.3247,0.5726
"279","08073",0.4576,0.1923,0.3563,0.1162,0.0547
"280","08075",0.3952,0.397,0.6587,0.3435,0.2002
"281","08077",0.4576,0.5661,0.7211,0.653,0.6257
"282","08079",0.0079,0,0.0315,0.0939,0.0255
"283","08081",0.6674,0.4113,0.5164,0.9405,0.8676
"284","08083",0.6464,0.7202,0.2576,0.3613,0.2476
"285","08085",0.3469,0.3715,0.2789,0.1391,0.0843
"286","08087",0.6874,0.9265,0.9468,0.9019,0.8542
"287","08089",0.8338,0.907,0.8596,0.9096,0.4134
"288","08091",0.0286,0.0134,0.0344,0.0777,0.0659
"289","08093",0.0346,0.0805,0.0334,0.0092,0.0321
"290","08095",0.07,0.4285,0.0541,0.0398,0.1015
"291","08097",0.0496,0.0376,0.4053,0.49,0.754
"292","08099",0.8415,0.8478,0.7523,0.8383,0.6108
"293","08101",0.8548,0.8376,0.7915,0.8185,0.767
"294","08103",0.1502,0.2178,0.1267,0.1573,0.2002
"295","08105",0.7316,0.4142,0.517,0.6399,0.5726
"296","08107",0.0814,0.2273,0.0716,0.0853,0.2285
"297","08109",0.5337,0.1401,0.021,0.0306,0.591
"298","08111",0.0232,0.0408,0.1503,0.0127,0.0455
"299","08113",0.0926,0.2401,0.3168,0.2961,0.3049
"300","08115",0.0614,0.5457,0.306,0.3435,0.8542
"301","08117",0.0401,0.1111,0.0764,0.0544,0.0191
"302","08119",0.0837,0.326,0.3719,0.2069,0.113
"303","08121",0.0471,0.1372,0.3429,0.5412,0.4316
"304","08125",0.1683,0.0398,0.1582,0.49,0.4516
"305","09001",0.4232,0.4683,0.5043,0.4712,0.5726
"306","09003",0.7017,0.7835,0.7214,0.6832,0.7161
"307","09005",0.1842,0.1576,0.12,0.1573,0.2116
"308","09007",0.1753,0.2404,0.1961,0.2385,0.4134
"309","09009",0.6992,0.6861,0.6393,0.6399,0.7813
"310","09011",0.5649,0.7065,0.7635,0.7112,0.6537
"311","09013",0.1635,0.4479,0.298,0.2069,0.1738
"312","09015",0.6804,0.8195,0.7714,0.7679,0.802
"313","10001",0.8491,0.8797,0.8488,0.8548,0.9106
"314","10003",0.7905,0.709,0.6909,0.6065,0.7015
"315","10005",0.556,0.4763,0.3629,0.3435,0.366
"316","11001",0.7316,0.6014,0.6463,0.5412,0.7161
"317","12001",0.4834,0.3782,0.3228,0.2537,0.4714
"318","12003",0.8701,0.845,0.6988,0.8462,0.366
"319","12005",0.7234,0.5425,0.5743,0.5938,0.6257
"320","12007",0.8367,0.5705,0.5985,0.8077,0.888
"321","12009",0.4563,0.4183,0.398,0.3247,0.3049
"322","12011",0.7778,0.781,0.7816,0.7469,0.7393
"323","12013",0.8049,0.6905,0.6883,0.3792,0.0913
"324","12015",0.0973,0.0936,0.0799,0.0478,0.0913
"325","12017",0.1842,0.1305,0.1305,0.1251,0.1738
"326","12019",0.7549,0.7214,0.6543,0.7198,0.6257
"327","12021",0.2275,0.2423,0.2732,0.2665,0.2116
"328","12023",0.8415,0.5979,0.4285,0.3961,0.4914
"329","12027",0.8325,0.9115,0.9051,0.7994,0.8116
"330","12029",0.5436,0.1181,0.5094,0.49,0.0843
"331","12031",0.8752,0.8138,0.7994,0.8462,0.8479
"332","12033",0.8462,0.468,0.2786,0.2069,0.591
"333","12035",0.3771,0.1216,0.1716,0.1573,0.2826
"334","12037",0.5795,0.262,0.1102,0.0853,0.2002
"335","12039",0.9659,0.9497,0.9491,0.9522,0.9468
"336","12041",0.5436,0.1624,0.3432,0.6702,0.7276
"337","12043",0.4347,0.3951,0.3031,0.2792,0.155
"338","12045",0.4891,0.7625,0.5613,0.3961,0.7276
"339","12047",0.872,0.7781,0.9144,0.9589,0.7393
"340","12049",0.9026,0.9366,0.9124,0.9019,0.767
"341","12051",0.9541,0.9863,0.986,0.992,0.9239
"342","12053",0.4328,0.4441,0.447,0.3613,0.3049
"343","12055",0.2842,0.1452,0.1445,0.1706,0.2285
"344","12057",0.8262,0.801,0.8096,0.7994,0.7813
"345","12059",0.6228,0.2945,0.4884,0.7469,0.8415
"346","12061",0.2647,0.2165,0.0942,0.035,0.0659
"347","12063",0.8348,0.6721,0.801,0.7905,0.767
"348","12065",0.654,0.3263,0.5027,0.3792,0.2826
"349","12067",0.6301,0.5377,0.4677,0.6065,0.0213
"350","12069",0.3946,0.2713,0.4085,0.3961,0.2826
"351","12071",0.4213,0.5285,0.4925,0.3613,0.3485
"352","12073",0.669,0.6148,0.4839,0.5775,0.767
"353","12075",0.6616,0.5123,0.5412,0.4518,0.2002
"354","12077",0.8873,0.7765,0.8924,0.7771,0.2826
"355","12079",0.8863,0.7116,0.645,0.6234,0.4914
"356","12081",0.4271,0.2846,0.305,0.3247,0.2285
"357","12083",0.5241,0.4311,0.3964,0.3613,0.5344
"358","12085",0.1384,0.0831,0.1152,0.0735,0.1015
"359","12086",0.8952,0.8297,0.844,0.8462,0.8116
"360","12087",0.153,0.1197,0.1092,0.2385,0.2476
"361","12089",0.4057,0.3604,0.653,0.5234,0.3905
"362","12091",0.6066,0.6377,0.446,0.3613,0.5344
"363","12093",0.8049,0.901,0.7911,0.7679,0.591
"364","12095",0.8593,0.8128,0.8526,0.8462,0.767
"365","12097",0.9271,0.9373,0.8968,0.8628,0.8479
"366","12099",0.478,0.5164,0.4992,0.4126,0.4516
"367","12101",0.4678,0.3467,0.384,0.4712,0.5535
"368","12103",0.3987,0.3174,0.2935,0.2792,0.366
"369","12105",0.7746,0.7176,0.7084,0.7198,0.6537
"370","12107",0.8036,0.6027,0.5782,0.4518,0.5535
"371","12109",0.2383,0.2245,0.1627,0.1812,0.2285
"372","12111",0.6791,0.7023,0.5288,0.5053,0.5124
"373","12113",0.5716,0.4273,0.4129,0.5775,0.591
"374","12115",0.1123,0.1363,0.0923,0.0853,0.1235
"375","12117",0.6674,0.4187,0.4104,0.4126,0.5726
"376","12119",0.0101,0.008,0.0086,0.0064,0.0213
"377","12121",0.7418,0.7838,0.8281,0.83,0.5124
"378","12123",0.8185,0.2805,0.4253,0.2385,0.3905
"379","12125",0.8812,0.9287,0.93,0.9172,0.9239
"380","12127",0.4863,0.405,0.3859,0.3435,0.4134
"381","12129",0.7854,0.8975,0.9058,0.5938,0.366
"382","12131",0.4993,0.2493,0.2779,0.2961,0.7276
"383","12133",0.7119,0.1636,0.3578,0.7771,0.9656
"384","13001",0.7644,0.7822,0.7937,0.9019,0.7813
"385","13003",0.9038,0.9198,0.9366,0.8809,0.8978
"386","13005",0.8535,0.4852,0.7373,0.9319,0.9468
"387","13007",0.7119,0.2082,0.0474,0.1391,0.155
"388","13009",0.9239,0.8281,0.7122,0.5775,0.9539
"389","13011",0.4293,0.5533,0.7058,0.4518,0.1423
"390","13013",0.7867,0.7606,0.7988,0.8462,0.8415
"391","13015",0.7998,0.6361,0.6874,0.7679,0.6537
"392","13017",0.9554,0.9898,0.9513,0.9694,0.9583
"393","13019",0.7893,0.7307,0.3547,0.49,0.5344
"394","13021",0.9646,0.9551,0.9678,0.9497,0.9682
"395","13023",0.8147,0.7845,0.5922,0.5412,0.9831
"396","13025",0.8271,0.7431,0.3365,0.5597,0.1324
"397","13027",0.7918,0.4174,0.4651,0.1706,0.9195
"398","13029",0.8676,0.914,0.9376,0.9554,0.9344
"399","13031",0.7062,0.851,0.8583,0.8975,0.802
"400","13033",0.9844,0.9771,0.9819,0.9019,0.5726
"401","13035",0.8462,0.5002,0.5982,0.7469,0.8765
"402","13037",0.9567,0.8309,0.9459,0.9819,0.9975
"403","13039",0.8551,0.6074,0.8765,0.8975,0.9539
"404","13043",0.8605,0.9624,0.979,0.9892,0.9637
"405","13045",0.8169,0.7628,0.8555,0.7905,0.9147
"406","13047",0.6082,0.5489,0.3792,0.1812,0.3049
"407","13049",0.8119,0.6609,0.5807,0.1936,0.4316
"408","13051",0.8822,0.8064,0.8545,0.8975,0.888
"409","13053",0.9439,0.078,0.7246,0.8185,0.9911
"410","13055",0.7119,0.7969,0.6498,0.3792,0.4516
"411","13057",0.3739,0.5616,0.3693,0.2792,0.6108
"412","13059",0.5919,0.5852,0.504,0.5775,0.7276
"413","13061",0.9621,0.9669,0.8153,0.7905,0.8116
"414","13063",0.9907,0.9847,0.9914,0.9924,0.9854
"415","13065",0.9586,0.9573,0.9803,0.9522,0.9822
"416","13067",0.654,0.7714,0.7542,0.6972,0.7161
"417","13069",0.914,0.8344,0.8118,0.8918,0.7813
"418","13071",0.9194,0.9583,0.958,0.922,0.9036
"419","13073",0.6483,0.7026,0.5817,0.49,0.7276
"420","13075",0.9016,0.6316,0.7596,0.7679,0.6728
"421","13077",0.7091,0.6492,0.7081,0.6234,0.832
"422","13079",0.5856,0.8485,0.6928,0.49,0.1738
"423","13081",0.9681,0.9745,0.9857,0.9522,0.9905
"424","13083",0.3058,0.1423,0.1423,0.1337,0.3049
"425","13085",0.2574,0.4674,0.4234,0.0478,0.2826
"426","13087",0.9506,0.9532,0.9876,0.9812,0.9803
"427","13089",0.9092,0.8551,0.8602,0.8462,0.8479
"428","13091",0.8777,0.9112,0.9472,0.8548,0.8676
"429","13093",0.9274,0.8122,0.7549,0.5938,0.7161
"430","13095",0.985,0.986,0.9904,0.9943,0.9936
"431","13097",0.9344,0.9443,0.9252,0.9522,0.9519
"432","13099",0.9688,0.9204,0.9475,0.9675,0.9847
"433","13101",0.9038,0.8395,0.9764,0.3123,0.4316
"434","13103",0.7644,0.7109,0.809,0.6832,0.7393
"435","13105",0.8392,0.7599,0.5409,0.3613,0.5124
"436","13107",0.949,0.9612,0.9589,0.9675,0.9583
"437","13109",0.9086,0.95,0.9067,0.9589,0.9507
"438","13111",0.1779,0.2248,0.0646,0.0611,0.2651
"439","13113",0.329,0.2888,0.2442,0.2385,0.5535
"440","13115",0.8071,0.4661,0.6374,0.7584,0.9147
"441","13117",0.1779,0.1312,0.1796,0.1391,0.2651
"442","13119",0.4732,0.361,0.3715,0.6234,0.8211
"443","13121",0.8195,0.7972,0.7482,0.7316,0.8211
"444","13123",0.2444,0.1162,0.1458,0.1162,0.5535
"445","13125",0.7091,0.0404,0.008,0.49,0.9733
"446","13127",0.8647,0.8564,0.8946,0.8185,0.6537
"447","13129",0.7511,0.4664,0.8421,0.8383,0.7922
"448","13131",0.8892,0.9331,0.9,0.8628,0.7276
"449","13133",0.7721,0.4409,0.4164,0.4712,0.7393
"450","13135",0.8481,0.8806,0.8679,0.8462,0.8211
"451","13137",0.4525,0.1961,0.2372,0.1573,0.0716
"452","13139",0.7396,0.7208,0.6947,0.6702,0.6257
"453","13141",0.9484,0.3254,0.3273,0.1936,0.888
"454","13143",0.7441,0.7539,0.879,0.8682,0.591
"455","13145",0.2138,0.2168,0.3754,0.2961,0.1324
"456","13147",0.669,0.4849,0.7217,0.5597,0.2285
"457","13149",0.7826,0.4706,0.5947,0.2961,0.4714
"458","13151",0.9213,0.9516,0.9478,0.9478,0.9147
"459","13153",0.8971,0.8828,0.8768,0.8975,0.8542
