year,fips,poverty_rate
2009,00000,14.3
2009,01000,17.5
2009,01001,11.2
2009,01003,13.3
2009,01005,32.8
2009,01007,18.1
2009,01009,14.6
2009,01011,34.7
2009,01013,29.4
2009,01015,19
2009,01017,20.7
2009,01019,18.4
2009,01021,18.7
2009,01023,22.8
2009,01025,29.1
2009,01027,19.2
2009,01029,17
2009,01031,15.7
2009,01033,16
2009,01035,27.5
2009,01037,16.7
2009,01039,22.5
2009,01041,20.6
2009,01043,19.3
2009,01045,16.2
2009,01047,35
2009,01049,21.7
2009,01051,14.2
2009,01053,22
2009,01055,17.2
2009,01057,19.6
2009,01059,21.8
2009,01061,19.4
2009,01063,28.4
2009,01065,26.6
2009,01067,18.7
2009,01069,17.7
2009,01071,16.4
2009,01073,16.5
2009,01075,18.2
2009,01077,14.5
2009,01079,16.2
2009,01081,20.7
2009,01083,13.5
2009,01085,28.8
2009,01087,38.6
2009,01089,10.3
2009,01091,24.9
2009,01093,21.2
2009,01095,19.1
2009,01097,18.7
2009,01099,23.4
2009,01101,19.9
2009,01103,15.9
2009,01105,31
2009,01107,28
2009,01109,27.6
2009,01111,21.1
2009,01113,19.9
2009,01115,13.8
2009,01117,6.9
2009,01119,35.1
2009,01121,18.9
2009,01123,17.8
2009,01125,19.9
2009,01127,16
2009,01129,19.3
2009,01131,34.6
2009,01133,24.9
2009,02000,9.1
2009,02013,13.9
2009,02016,9.1
2009,02020,7.6
2009,02050,20.7
2009,02060,7.8
2009,02068,4.8
2009,02070,18.5
2009,02090,7.9
2009,02100,9.8
2009,02105,17.2
2009,02110,6.6
2009,02122,8.7
2009,02130,8.3
2009,02150,6.9
2009,02164,16.1
2009,02170,8.7
2009,02180,21.3
2009,02185,7.8
2009,02188,15
2009,02195,9.2
2009,02198,15.4
2009,02220,7.6
2009,02230,4
2009,02240,12.5
2009,02261,7.9
2009,02270,30.9
2009,02275,10.5
2009,02282,14.1
2009,02290,22.7
2009,04000,16.5
2009,04001,35.4
2009,04003,16.2
2009,04005,18
2009,04007,20.7
2009,04009,21.5
2009,04011,10.9
2009,04012,25.4
2009,04013,15.1
2009,04015,17.8
2009,04017,27.4
2009,04019,18.9
2009,04021,13.7
2009,04023,25
2009,04025,14.2
2009,04027,19.2
2009,05000,18.5
2009,05001,17.2
2009,05003,21.7
2009,05005,16.5
2009,05007,13.1
2009,05009,16.3
2009,05011,27.6
2009,05013,17
2009,05015,17.3
2009,05017,32.8
2009,05019,22.1
2009,05021,20.3
2009,05023,17.5
2009,05025,16
2009,05027,25.7
2009,05029,19.6
2009,05031,17.9
2009,05033,17.6
2009,05035,28.3
2009,05037,18.2
2009,05039,23.3
2009,05041,25.8
2009,05043,23.4
2009,05045,14.3
2009,05047,18.8
2009,05049,23
2009,05051,14.7
2009,05053,12.1
2009,05055,14.4
2009,05057,27.3
2009,05059,17.2
2009,05061,19.6
2009,05063,20.8
2009,05065,24.2
2009,05067,28.4
2009,05069,24.7
2009,05071,19.8
2009,05073,25.7
2009,05075,23.5
2009,05077,42.6
2009,05079,31.5
2009,05081,15.1
2009,05083,20.7
2009,05085,13.1
2009,05087,18.7
2009,05089,20.4
2009,05091,19
2009,05093,23.4
2009,05095,27.5
2009,05097,20.5
2009,05099,21.5
2009,05101,25.5
2009,05103,21.9
2009,05105,18.6
2009,05107,34.7
2009,05109,18.8
2009,05111,26.3
2009,05113,21.9
2009,05115,18.4
2009,05117,18.8
2009,05119,16.7
2009,05121,20
2009,05123,31.8
2009,05125,8.5
2009,05127,24.5
2009,05129,27
2009,05131,17.6
2009,05133,22.9
2009,05135,21.9
2009,05137,23.3
2009,05139,23.3
2009,05141,18.7
2009,05143,18.7
2009,05145,16.5
2009,05147,27.4
2009,05149,18.6
2009,06000,14.2
2009,06001,10.8
2009,06003,17.3
2009,06005,11.3
2009,06007,18.5
2009,06009,11.3
2009,06011,13.4
2009,06013,9.5
2009,06015,23.1
2009,06017,7.6
2009,06019,21.5
2009,06021,15.8
2009,06023,19
2009,06025,22.8
2009,06027,12.5
2009,06029,22.2
2009,06031,19.5
2009,06033,22.1
2009,06035,18.2
2009,06037,16
2009,06039,20.6
2009,06041,7.3
2009,06043,13.5
2009,06045,17.5
2009,06047,24.6
2009,06049,19
2009,06051,11.7
2009,06053,17.2
2009,06055,8.6
2009,06057,10.1
2009,06059,10.7
2009,06061,7.2
2009,06063,12.3
2009,06065,13.9
2009,06067,15.3
2009,06069,13.9
2009,06071,17
2009,06073,12.5
2009,06075,11.7
2009,06077,15.7
2009,06079,13.2
2009,06081,7.6
2009,06083,15
2009,06085,9.1
2009,06087,13.9
2009,06089,15.5
2009,06091,13.1
2009,06093,16.1
2009,06095,10.7
2009,06097,9.5
2009,06099,17
2009,06101,14.8
2009,06103,18.9
2009,06105,18.2
2009,06107,23
2009,06109,14.2
2009,06111,10.5
2009,06113,15.7
2009,06115,19.5
2009,08000,12.6
2009,08003,22.2
2009,08005,12.3
2009,08007,12.9
2009,08009,18.3
2009,08011,37.2
2009,08014,10.8
2009,08015,12
2009,08017,13.4
2009,08019,8.1
2009,08021,24.5
2009,08023,27.4
2009,08025,53
2009,08027,13.9
2009,08029,13.9
2009,08031,18.8
2009,08033,12.4
2009,08035,3.3
2009,08037,8
2009,08039,5.4
2009,08041,11.5
2009,08043,18.1
2009,08045,8.6
2009,08047,7.3
2009,08049,8.5
2009,08051,13.4
2009,08053,11.2
2009,08055,26.9
2009,08057,15
2009,08061,14.8
2009,08063,15.4
2009,08065,13.8
2009,08067,11.6
2009,08069,14.7
2009,08071,18.5
2009,08073,16.7
2009,08075,17
2009,08077,11.8
2009,08079,10.5
2009,08081,10.1
2009,08083,16.9
2009,08085,12.8
2009,08087,14.4
2009,08089,23.6
2009,08091,8.5
2009,08093,9.1
2009,08095,12.4
2009,08097,6.5
2009,08099,23.1
2009,08101,16.9
2009,08103,7.7
2009,08105,17
2009,08107,6.4
2009,08109,30.1
2009,08111,13.5
2009,08113,10.7
2009,08115,15.5
2009,08117,8.7
2009,08119,8.2
2009,08121,12.1
2009,08125,13.3
2009,09000,9.3
2009,09001,8.2
2009,09003,10.1
2009,09005,6.5
2009,09007,5.7
2009,09009,11.9
2009,09011,7.9
2009,09013,6.7
2009,09015,9.8
2009,10000,11.2
2009,10001,13.6
2009,10003,10.1
2009,10005,12.2
2009,11000,17.6
2009,11001,17.6
2009,12000,15
2009,12001,23
2009,12003,17.2
2009,12005,14.4
2009,12007,22.5
2009,12009,11.6
2009,12011,13
2009,12013,20.8
2009,12015,12.2
2009,12017,15.8
2009,12019,9.2
2009,12021,12.6
2009,12023,19.1
2009,12027,25.6
2009,12029,23.7
2009,12031,15.3
2009,12033,18.9
2009,12035,11.3
2009,12037,23.1
2009,12039,26
2009,12041,18
2009,12043,21.5
2009,12045,23
2009,12047,28.5
2009,12049,28.4
2009,12051,22.6
2009,12053,13.1
2009,12055,19.9
2009,12057,15.2
2009,12059,24
2009,12061,13.8
2009,12063,22
2009,12065,19.1
2009,12067,24.6
2009,12069,12.6
2009,12071,12.8
2009,12073,22.3
2009,12075,21.8
2009,12077,23.1
2009,12079,26.2
2009,12081,14.4
2009,12083,15.9
2009,12085,13.5
2009,12086,17.7
